model_key,relationship,certainty,n_latency,raw_mean,raw_median,adjusted_estimate,se,ci_low,ci_high
claude-sonnet-5,boyfriend,1,146,110.04794520547945,95.5,110.53162803309844,3.913108349560611,102.86193566795964,118.20132039823724
claude-sonnet-5,boyfriend,2,240,55.733333333333334,57.5,55.73333333333278,2.148274927092037,51.52271447623239,59.94395219043317
claude-sonnet-5,boyfriend,3,240,8.7,7.5,8.69999999999904,0.9102750827110272,6.915860837885427,10.484139162112653
claude-sonnet-5,boyfriend,4,240,4.304166666666666,6.0,4.30416666666629,0.33215185003267783,3.653149040602241,4.955184292730339
claude-sonnet-5,dad,1,236,65.33898305084746,65.5,65.27336404238075,2.4890578194452178,60.394810716268125,70.15191736849337
claude-sonnet-5,dad,2,240,14.825,10.0,14.825000000000998,1.117783655085543,12.634144036033334,17.01585596396866
claude-sonnet-5,dad,3,240,5.129166666666666,1.0,5.129166666667361,0.253227122224027,4.632841507108268,5.625491826226454
claude-sonnet-5,dad,4,240,4.4,6.0,4.400000000001285,0.2804105518091803,3.8503953184552913,4.949604681547278
claude-sonnet-5,daddy,1,239,42.46861924686193,32.0,42.46982692668264,2.1055546165457097,38.34293987825305,46.59671397511224
claude-sonnet-5,daddy,2,240,8.766666666666667,8.0,8.766666666666579,0.8414648189222319,7.117395621579004,10.415937711754154
claude-sonnet-5,daddy,3,240,4.4125,1.0,4.412499999999599,0.2062132714541535,4.008321987949458,4.81667801204974
claude-sonnet-5,daddy,4,240,4.0125,6.0,4.012500000000032,0.2072383669589193,3.6063128007605503,4.418687199239514
claude-sonnet-5,girlfriend,1,112,112.28571428571429,104.5,113.86313152535227,5.078353606319646,103.90955845696577,123.81670459373878
claude-sonnet-5,girlfriend,2,240,50.6,56.0,50.59999999999954,1.8432867314542876,46.987158006349134,54.212841993649945
claude-sonnet-5,girlfriend,3,240,7.104166666666667,7.0,7.1041666666658365,0.5254347182507252,6.074314618894415,8.134018714437257
claude-sonnet-5,girlfriend,4,240,3.8125,5.0,3.812499999999811,0.3399402807545254,3.146217049720941,4.4787829502786805
claude-sonnet-5,husband,1,193,87.18652849740933,82.0,87.3095555152031,3.415477570336118,80.61521947734431,94.00389155306189
claude-sonnet-5,husband,2,240,29.041666666666668,17.0,29.041666666666206,1.6874694399208832,25.734226564421274,32.349106768911135
claude-sonnet-5,husband,3,240,4.3375,1.0,4.337499999999062,0.3129141702446193,3.7241882263196087,4.950811773678517
claude-sonnet-5,husband,4,240,3.3333333333333335,1.0,3.3333333333329844,0.30826696784048097,2.729130076365642,3.937536590300327
claude-sonnet-5,mom,1,240,61.8375,61.5,61.83749999999935,2.2161492389224615,57.49384749171133,66.18115250828738
claude-sonnet-5,mom,2,240,19.554166666666667,11.0,19.554166666666262,1.3726013679282523,16.863867985526888,22.244465347805637
claude-sonnet-5,mom,3,240,2.85,1.0,2.849999999999073,0.26500503411597154,2.3305901331317687,3.369409866866377
claude-sonnet-5,mom,4,240,3.325,1.0,3.3249999999998394,0.23051152308072465,2.873197414761619,3.77680258523806
claude-sonnet-5,mommy,1,239,33.89539748953975,26.0,33.906259789983956,1.6133833298962734,30.74402846338726,37.06849111658065
claude-sonnet-5,mommy,2,239,12.414225941422593,7.0,12.473282214879216,0.8772399644145266,10.753891884626745,14.192672545131687
claude-sonnet-5,mommy,3,240,4.845833333333333,5.0,4.8458333333337835,0.23541154528016367,4.384426704584663,5.307239962082904
claude-sonnet-5,mommy,4,240,4.279166666666667,6.0,4.279166666668057,0.29399435239210825,3.702937735979525,4.855395597356589
claude-sonnet-5,wife,1,150,97.58666666666667,91.5,99.5777939071473,3.6922546039035753,92.34097488349629,106.8146129307983
claude-sonnet-5,wife,2,237,41.30379746835443,26.0,41.50166944978983,1.9603259840363465,37.65943052107859,45.34390837850107
claude-sonnet-5,wife,3,240,5.391666666666667,1.0,5.391666666665747,0.531937815920472,4.349068547461623,6.434264785869872
claude-sonnet-5,wife,4,240,3.0125,1.0,3.0124999999998736,0.2459666658775422,2.530405334879891,3.4945946651198563
gpt-5.6-terra,boyfriend,1,240,35.94583333333333,30.0,35.945833333332914,1.3351423713326827,33.32895428552086,38.56271238114497
gpt-5.6-terra,boyfriend,2,240,7.891666666666667,1.0,7.89166666666687,0.525235165743677,6.862205741809263,8.921127591524478
gpt-5.6-terra,boyfriend,3,240,1.0,1.0,1.000000000000129,0.09609265898460301,0.8116583883903071,1.188341611609951
gpt-5.6-terra,boyfriend,4,240,1.0,1.0,1.000000000000103,0.09609265898459891,0.8116583883902891,1.1883416116099168
gpt-5.6-terra,dad,1,240,15.65,15.0,15.649999999999563,0.6136148123285261,14.447314967835652,16.852685032163475
gpt-5.6-terra,dad,2,240,1.0625,1.0,1.062500000000047,0.09026488212531834,0.8855808310344231,1.239419168965671
gpt-5.6-terra,dad,3,240,1.0,1.0,1.0000000000001446,0.06855683438920825,0.8656286045972964,1.1343713954029928
gpt-5.6-terra,dad,4,240,1.0,1.0,1.0000000000000269,0.06855683438922336,0.8656286045971491,1.1343713954029047
gpt-5.6-terra,daddy,1,240,20.620833333333334,20.0,20.620833333333064,0.7356627435295936,19.17893435601506,22.062732310651068
gpt-5.6-terra,daddy,2,240,1.4583333333333333,1.0,1.4583333333335948,0.17196947434939533,1.12127316360878,1.7953935030584096
gpt-5.6-terra,daddy,3,240,1.0,1.0,1.0000000000002394,0.062464658607883784,0.8775692691287872,1.1224307308716917
gpt-5.6-terra,daddy,4,240,1.0,1.0,1.0000000000001714,0.06246465860789763,0.877569269128692,1.1224307308716508
gpt-5.6-terra,girlfriend,1,240,40.40833333333333,31.0,40.40833333333313,1.7240871330573695,37.02912255254069,43.78754411412557
gpt-5.6-terra,girlfriend,2,240,6.05,1.0,6.050000000000289,0.4214680673129773,5.223922588066854,6.876077411933725
gpt-5.6-terra,girlfriend,3,240,1.0,1.0,1.0000000000003009,0.13593044529922096,0.7335763272138278,1.266423672786774
gpt-5.6-terra,girlfriend,4,240,1.0,1.0,1.0000000000002187,0.13593044529921705,0.7335763272137533,1.2664236727866842
gpt-5.6-terra,husband,1,240,20.908333333333335,20.5,20.908333333333122,0.5935719863353163,19.7449322401159,22.071734426550343
gpt-5.6-terra,husband,2,240,1.3083333333333333,1.0,1.3083333333336111,0.145878980860701,1.0224105308466371,1.5942561358205851
gpt-5.6-terra,husband,3,240,1.0,1.0,1.0000000000001832,0.0665844360552211,0.8694945053319498,1.1305054946684165
gpt-5.6-terra,husband,4,240,1.0,1.0,1.0000000000001223,0.06658443605521218,0.8694945053319065,1.1305054946683382
gpt-5.6-terra,mom,1,240,13.4,13.0,13.400000000000059,0.5992393074114749,12.225490957473568,14.57450904252655
gpt-5.6-terra,mom,2,240,1.0,1.0,1.0000000000005282,0.07994165174279334,0.8433143625846533,1.1566856374164032
gpt-5.6-terra,mom,3,240,1.0,1.0,1.0000000000005653,0.07030070336486598,0.862210621405428,1.1377893785957027
gpt-5.6-terra,mom,4,240,1.0,1.0,1.0000000000004654,0.07030070336484064,0.8622106214053777,1.137789378595553
gpt-5.6-terra,mommy,1,240,10.616666666666667,1.0,10.616666666666335,0.7168844808940004,9.211573084114095,12.021760249218575
gpt-5.6-terra,mommy,2,240,1.0541666666666667,1.0,1.0541666666667995,0.09770633474020038,0.8626622505760068,1.2456710827575923
gpt-5.6-terra,mommy,3,240,1.0,1.0,1.00000000000018,0.06466186711207302,0.873262740460517,1.1267372595398433
gpt-5.6-terra,mommy,4,240,1.0,1.0,1.0000000000001583,0.06466186711207442,0.8732627404604925,1.1267372595398242
gpt-5.6-terra,wife,1,240,19.641666666666666,19.0,19.641666666666364,0.6222573042775176,18.422042350282428,20.8612909830503
gpt-5.6-terra,wife,2,240,1.0958333333333334,1.0,1.0958333333335675,0.0998272102300996,0.9001720012825722,1.2914946653845627
gpt-5.6-terra,wife,3,240,1.0,1.0,1.000000000000092,0.06995895485526683,0.8628804484837689,1.137119551516415
gpt-5.6-terra,wife,4,240,1.0,1.0,1.0000000000002052,0.06995895485524198,0.8628804484839309,1.1371195515164794
