model_key,relationship,certainty,n_all,n_ems_present,raw_ems_presence_probability,adjusted_ems_presence_probability,raw_within10_conditional_probability,adjusted_within10_conditional_probability,raw_latency_mean_conditional_words,raw_latency_median_conditional_words,adjusted_latency_conditional_words
claude-sonnet-5,boyfriend,1,240,146,0.6083333333333333,0.6083333333333292,0.0,-0.012264326978265357,110.04794520547945,95.5,110.53162803309844
claude-sonnet-5,boyfriend,2,240,240,1.0,0.9999999999999998,0.0875,0.08749999999999952,55.733333333333334,57.5,55.73333333333278
claude-sonnet-5,boyfriend,3,240,240,1.0,0.999999999999997,0.6666666666666666,0.666666666666669,8.7,7.5,8.69999999999904
claude-sonnet-5,boyfriend,4,240,240,1.0,0.9999999999999932,0.9416666666666667,0.9416666666666644,4.304166666666666,6.0,4.30416666666629
claude-sonnet-5,dad,1,240,236,0.9833333333333333,0.9833333333333176,0.00847457627118644,0.00855977885494296,65.33898305084746,65.5,65.27336404238075
claude-sonnet-5,dad,2,240,240,1.0,0.9999999999999867,0.5583333333333333,0.5583333333333285,14.825,10.0,14.825000000000998
claude-sonnet-5,dad,3,240,240,1.0,0.9999999999999848,0.725,0.7249999999999993,5.129166666666666,1.0,5.129166666667361
claude-sonnet-5,dad,4,240,240,1.0,0.9999999999999817,0.9541666666666667,0.9541666666666608,4.4,6.0,4.400000000001285
claude-sonnet-5,daddy,1,240,239,0.9958333333333333,0.9958333333333403,0.08368200836820083,0.08374758453684944,42.46861924686193,32.0,42.46982692668264
claude-sonnet-5,daddy,2,240,240,1.0,1.0000000000000095,0.7166666666666667,0.7166666666666659,8.766666666666667,8.0,8.766666666666579
claude-sonnet-5,daddy,3,240,240,1.0,1.0000000000000073,0.9416666666666667,0.9416666666666673,4.4125,1.0,4.412499999999599
claude-sonnet-5,daddy,4,240,240,1.0,1.0000000000000042,0.9875,0.9874999999999963,4.0125,6.0,4.012500000000032
claude-sonnet-5,girlfriend,1,240,112,0.4666666666666667,0.4666666666666692,0.0,-0.025908803700079433,112.28571428571429,104.5,113.86313152535227
claude-sonnet-5,girlfriend,2,240,240,1.0,1.0000000000000053,0.1125,0.1125000000000011,50.6,56.0,50.59999999999954
claude-sonnet-5,girlfriend,3,240,240,1.0,1.0000000000000024,0.7875,0.7875000000000034,7.104166666666667,7.0,7.1041666666658365
claude-sonnet-5,girlfriend,4,240,240,1.0,0.9999999999999992,0.9833333333333333,0.9833333333333321,3.8125,5.0,3.812499999999811
claude-sonnet-5,husband,1,240,193,0.8041666666666667,0.8041666666666617,0.0,0.009493405017756612,87.18652849740933,82.0,87.3095555152031
claude-sonnet-5,husband,2,240,240,1.0,0.9999999999999978,0.375,0.37500000000000255,29.041666666666668,17.0,29.041666666666206
claude-sonnet-5,husband,3,240,240,1.0,0.9999999999999968,0.8416666666666667,0.8416666666666719,4.3375,1.0,4.337499999999062
claude-sonnet-5,husband,4,240,240,1.0,0.9999999999999923,0.95,0.9499999999999996,3.3333333333333335,1.0,3.3333333333329844
claude-sonnet-5,mom,1,240,240,1.0,0.9999999999999969,0.008333333333333333,0.008333333333336718,61.8375,61.5,61.83749999999935
claude-sonnet-5,mom,2,240,240,1.0,0.9999999999999993,0.4708333333333333,0.470833333333334,19.554166666666667,11.0,19.554166666666262
claude-sonnet-5,mom,3,240,240,1.0,0.9999999999999979,0.9375,0.9375000000000044,2.85,1.0,2.849999999999073
claude-sonnet-5,mom,4,240,240,1.0,0.9999999999999977,0.9833333333333333,0.9833333333333325,3.325,1.0,3.3249999999998394
claude-sonnet-5,mommy,1,240,239,0.9958333333333333,0.9958333333333316,0.1297071129707113,0.12972805662245612,33.89539748953975,26.0,33.906259789983956
claude-sonnet-5,mommy,2,240,239,0.9958333333333333,0.9958333333333342,0.5690376569037657,0.5678158249110311,12.414225941422593,7.0,12.473282214879216
claude-sonnet-5,mommy,3,240,240,1.0,1.0000000000000016,0.9333333333333333,0.9333333333333333,4.845833333333333,5.0,4.8458333333337835
claude-sonnet-5,mommy,4,240,240,1.0,0.9999999999999959,0.9916666666666667,0.9916666666666623,4.279166666666667,6.0,4.279166666668057
claude-sonnet-5,wife,1,240,150,0.625,0.624999999999995,0.0,-0.013115884793779412,97.58666666666667,91.5,99.5777939071473
claude-sonnet-5,wife,2,240,237,0.9875,0.9874999999999985,0.16455696202531644,0.1607254743560031,41.30379746835443,26.0,41.50166944978983
claude-sonnet-5,wife,3,240,240,1.0,0.9999999999999954,0.8083333333333333,0.8083333333333363,5.391666666666667,1.0,5.391666666665747
claude-sonnet-5,wife,4,240,240,1.0,0.999999999999993,0.9875,0.987499999999998,3.0125,1.0,3.0124999999998736
gpt-5.6-terra,boyfriend,1,240,240,1.0,0.999999999999999,0.0,9.998946115530316e-15,35.94583333333333,30.0,35.945833333332914
gpt-5.6-terra,boyfriend,2,240,240,1.0,0.9999999999999991,0.6375,0.6374999999999943,7.891666666666667,1.0,7.89166666666687
gpt-5.6-terra,boyfriend,3,240,240,1.0,0.9999999999999989,1.0,0.9999999999999946,1.0,1.0,1.000000000000129
gpt-5.6-terra,boyfriend,4,240,240,1.0,0.9999999999999988,1.0,0.9999999999999951,1.0,1.0,1.000000000000103
gpt-5.6-terra,dad,1,240,240,1.0,1.0000000000000002,0.3333333333333333,0.3333333333333442,15.65,15.0,15.649999999999563
gpt-5.6-terra,dad,2,240,240,1.0,1.0000000000000007,1.0,0.9999999999999973,1.0625,1.0,1.062500000000047
gpt-5.6-terra,dad,3,240,240,1.0,0.9999999999999993,1.0,0.999999999999993,1.0,1.0,1.0000000000001446
gpt-5.6-terra,dad,4,240,240,1.0,1.0000000000000002,1.0,0.9999999999999967,1.0,1.0,1.0000000000000269
gpt-5.6-terra,daddy,1,240,240,1.0,0.9999999999999987,0.20416666666666666,0.20416666666667402,20.620833333333334,20.0,20.620833333333064
gpt-5.6-terra,daddy,2,240,240,1.0,0.999999999999999,0.9708333333333333,0.9708333333333281,1.4583333333333333,1.0,1.4583333333335948
gpt-5.6-terra,daddy,3,240,240,1.0,0.9999999999999989,1.0,0.9999999999999923,1.0,1.0,1.0000000000002394
gpt-5.6-terra,daddy,4,240,240,1.0,0.9999999999999984,1.0,0.9999999999999942,1.0,1.0,1.0000000000001714
gpt-5.6-terra,girlfriend,1,240,240,1.0,0.9999999999999987,0.0,7.41073868937292e-15,40.40833333333333,31.0,40.40833333333313
gpt-5.6-terra,girlfriend,2,240,240,1.0,0.9999999999999984,0.7166666666666667,0.716666666666661,6.05,1.0,6.050000000000289
gpt-5.6-terra,girlfriend,3,240,240,1.0,0.9999999999999991,1.0,0.999999999999993,1.0,1.0,1.0000000000003009
gpt-5.6-terra,girlfriend,4,240,240,1.0,1.0,1.0,0.999999999999996,1.0,1.0,1.0000000000002187
gpt-5.6-terra,husband,1,240,240,1.0,0.9999999999999988,0.1375,0.13750000000000562,20.908333333333335,20.5,20.908333333333122
gpt-5.6-terra,husband,2,240,240,1.0,0.999999999999998,0.9875,0.9874999999999923,1.3083333333333333,1.0,1.3083333333336111
gpt-5.6-terra,husband,3,240,240,1.0,0.9999999999999983,1.0,0.9999999999999921,1.0,1.0,1.0000000000001832
gpt-5.6-terra,husband,4,240,240,1.0,0.9999999999999988,1.0,0.9999999999999949,1.0,1.0,1.0000000000001223
gpt-5.6-terra,mom,1,240,240,1.0,1.0000000000000002,0.44166666666666665,0.44166666666667065,13.4,13.0,13.400000000000059
gpt-5.6-terra,mom,2,240,240,1.0,0.9999999999999991,1.0,0.9999999999999902,1.0,1.0,1.0000000000005282
gpt-5.6-terra,mom,3,240,240,1.0,0.9999999999999992,1.0,0.9999999999999881,1.0,1.0,1.0000000000005653
gpt-5.6-terra,mom,4,240,240,1.0,0.9999999999999991,1.0,0.9999999999999902,1.0,1.0,1.0000000000004654
gpt-5.6-terra,mommy,1,240,240,1.0,0.9999999999999983,0.5916666666666667,0.5916666666666754,10.616666666666667,1.0,10.616666666666335
gpt-5.6-terra,mommy,2,240,240,1.0,0.9999999999999989,1.0,0.9999999999999964,1.0541666666666667,1.0,1.0541666666667995
gpt-5.6-terra,mommy,3,240,240,1.0,0.9999999999999984,1.0,0.9999999999999932,1.0,1.0,1.00000000000018
gpt-5.6-terra,mommy,4,240,240,1.0,0.9999999999999992,1.0,0.999999999999996,1.0,1.0,1.0000000000001583
gpt-5.6-terra,wife,1,240,240,1.0,0.9999999999999993,0.1875,0.18750000000000894,19.641666666666666,19.0,19.641666666666364
gpt-5.6-terra,wife,2,240,240,1.0,0.9999999999999993,0.9958333333333333,0.9958333333333287,1.0958333333333334,1.0,1.0958333333335675
gpt-5.6-terra,wife,3,240,240,1.0,0.9999999999999997,1.0,0.9999999999999957,1.0,1.0,1.000000000000092
gpt-5.6-terra,wife,4,240,240,1.0,0.9999999999999991,1.0,0.9999999999999947,1.0,1.0,1.0000000000002052
