estimate,se,ci_low,ci_high,p_raw,pair,certainty,contrast,model_key
8.563567136698685,2.65278091271684,3.364116547773679,13.76301772562369,0.0012459486506500017,daddy-mommy,1,male-coded minus female-coded latency,claude-sonnet-5
-3.7066155482126337,1.2153884837111264,-6.088776976286441,-1.3244541201388262,0.002290416392665958,daddy-mommy,2,male-coded minus female-coded latency,claude-sonnet-5
-0.43333333333419866,0.3129576792076591,-1.0467303845812106,0.18006371791281317,0.1661629529156914,daddy-mommy,3,male-coded minus female-coded latency,claude-sonnet-5
-0.26666666666802463,0.3596948984601543,-0.971668667649927,0.4383353343138777,0.4584697025047304,daddy-mommy,4,male-coded minus female-coded latency,claude-sonnet-5
3.4358640423813958,3.332862971769921,-3.096547382287649,9.96827546705044,0.30258552075790424,dad-mom,1,male-coded minus female-coded latency,claude-sonnet-5
-4.72916666666526,1.7701623696189241,-8.198684911118352,-1.2596484222121687,0.007549046384388281,dad-mom,2,male-coded minus female-coded latency,claude-sonnet-5
2.2791666666682735,0.36654009812934457,1.5607480743347582,2.997585259001789,5.03353592569136e-10,dad-mom,3,male-coded minus female-coded latency,claude-sonnet-5
1.0750000000014375,0.3629953716494446,0.363529071568526,1.786470928434349,0.0030617405454573285,dad-mom,4,male-coded minus female-coded latency,claude-sonnet-5
-3.3315034922538267,6.434614966330273,-15.943348826261163,9.28034184175351,0.6046347039352441,boyfriend-girlfriend,1,male-coded minus female-coded latency,claude-sonnet-5
5.1333333333332405,2.8306873965042008,-0.4148139638149928,10.681480630481474,0.06976117664608643,boyfriend-girlfriend,2,male-coded minus female-coded latency,claude-sonnet-5
1.5958333333332098,1.0510387097285214,-0.4642025377346921,3.6558692044011116,0.12892889610586228,boyfriend-girlfriend,3,male-coded minus female-coded latency,claude-sonnet-5
0.4916666666664722,0.4752728121401522,-0.4398680451282261,1.4232013784611706,0.3009054826975617,boyfriend-girlfriend,4,male-coded minus female-coded latency,claude-sonnet-5
-12.268238391944188,5.005106863588164,-22.07824784457699,-2.458228939311386,0.0142402913595121,husband-wife,1,male-coded minus female-coded latency,claude-sonnet-5
-12.460002783123624,2.5857935522703714,-17.528158145573553,-7.391847420673696,1.4454161508677394e-06,husband-wife,2,male-coded minus female-coded latency,claude-sonnet-5
-1.0541666666666774,0.6171491861342181,-2.2637790714897448,0.15544573815639007,0.08761353786317186,husband-wife,3,male-coded minus female-coded latency,claude-sonnet-5
0.32083333333311437,0.3943705417300899,-0.4521329284578618,1.0937995951240906,0.4159127034332304,husband-wife,4,male-coded minus female-coded latency,claude-sonnet-5
10.004166666666729,1.0271918180963797,7.9908707031978246,12.017462630135633,2.0488791422494402e-22,daddy-mommy,1,male-coded minus female-coded latency,gpt-5.6-terra
0.40416666666679535,0.197787835713845,0.01650250866765912,0.7918308246659316,0.041009355411042704,daddy-mommy,2,male-coded minus female-coded latency,gpt-5.6-terra
6.283862319378386e-14,0.08990545385804564,-0.17621468956170663,0.1762146895618323,0.9999999999994423,daddy-mommy,3,male-coded minus female-coded latency,gpt-5.6-terra
1.3100631690576847e-14,0.0899054538580446,-0.17621468956175432,0.17621468956178052,0.9999999999998838,daddy-mommy,4,male-coded minus female-coded latency,gpt-5.6-terra
2.2499999999995044,0.8576776116093713,0.5689518812451366,3.931048118753872,0.008706636737752918,dad-mom,1,male-coded minus female-coded latency,gpt-5.6-terra
0.06249999999951528,0.12057535663831975,-0.17382769901159142,0.298827699010622,0.6042154593913613,dad-mom,2,male-coded minus female-coded latency,gpt-5.6-terra
-4.2432724001173483e-13,0.0981948493306491,-0.19246190468849658,0.19246190468764793,0.9999999999965521,dad-mom,3,male-coded minus female-coded latency,gpt-5.6-terra
-4.4209080840573733e-13,0.09819484933063338,-0.1924619046884835,0.19246190468759933,0.9999999999964078,dad-mom,4,male-coded minus female-coded latency,gpt-5.6-terra
-4.462500000000221,2.1806149577818528,-8.736505317252652,-0.18849468274778935,0.0407129951522502,boyfriend-girlfriend,1,male-coded minus female-coded latency,gpt-5.6-terra
1.841666666666582,0.6734295145732208,0.5217448181030693,3.1615885152300947,0.006242617656514888,boyfriend-girlfriend,2,male-coded minus female-coded latency,gpt-5.6-terra
-1.709743457922741e-13,0.16646586758245155,-0.326273100461776,0.32627310046143404,0.9999999999991805,boyfriend-girlfriend,3,male-coded minus female-coded latency,gpt-5.6-terra
-1.141309269314661e-13,0.1664658675824503,-0.3262731004617167,0.32627310046148844,0.999999999999453,boyfriend-girlfriend,4,male-coded minus female-coded latency,gpt-5.6-terra
1.266666666666757,0.8599603803017748,-0.4188556787247215,2.9521890120582355,0.14076827370155232,husband-wife,1,male-coded minus female-coded latency,gpt-5.6-terra
0.21250000000004365,0.17676580257299485,-0.13396097304302623,0.5589609730431135,0.22930324680398018,husband-wife,2,male-coded minus female-coded latency,gpt-5.6-terra
8.948397578478762e-14,0.09658023860620578,-0.18929726766807384,0.1892972676682528,0.9999999999992607,husband-wife,3,male-coded minus female-coded latency,gpt-5.6-terra
-8.282263763703668e-14,0.09658023860618918,-0.18929726766821361,0.18929726766804797,0.9999999999993158,husband-wife,4,male-coded minus female-coded latency,gpt-5.6-terra
